configuration,Nxy,Nz,dx_um,padding,window_um,illumination_NA,theta_deg,phi_deg,continuous_born_scalar,continuous_rytov_scalar,continuous_born_co,continuous_rytov_co,continuous_born_full,continuous_rytov_full,scalar_co,scalar_full,polarization_leakage,voxel_born_scalar,voxel_rytov_scalar,voxel_born_co,voxel_rytov_co,voxel_born_full,voxel_rytov_full,voxel_born_continuous_gap,voxel_rytov_continuous_gap,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase,voxel_volume_error,voxel_seconds
sampling_0p05,1024,0,0.05,0,51.2,0.5,21.9887681072876,45,0.936108181403104,0.111979254301731,0.93647914293296,0.11186505996817,0.936539974938388,0.115881346390359,0.00676979262151927,0.0311780979506241,0.0304349495064475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5932.06913126117,5922.62499487397,5928.11612674643,2.42855984753884,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.05,2.14579781294776,90,0.890840029374833,0.0990369073995467,0.891222856585746,0.0988353192441941,0.89132855328088,0.103321446675895,0.00732936082131851,0.0311370796089173,0.0302629706971185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5383.48932181992,5374.77074812774,5379.69773028215,2.38054648340508,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.1,4.294612721817,90,0.892141255984021,0.0994049526795395,0.892522971516598,0.0992030203853223,0.892627271421521,0.103670688876226,0.007305567465367,0.0311240007463027,0.0302552633693936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5398.43750914899,5389.71393647947,5394.65209830446,2.34891809399324,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.15,6.44950021830543,90,0.894253863207253,0.100002401021133,0.894636211129059,0.0998028467041778,0.894738253899276,0.104240929350611,0.00727051242291627,0.0311044345775237,0.0302435753421501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5423.78576967658,5415.02435534678,5419.98187102885,2.30347262603119,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.2,8.61359395458848,90,0.897280970780385,0.100834021876851,0.897662742441489,0.100637117568684,0.897761569208031,0.105034494013596,0.00721869371009839,0.0310762113487979,0.0302269578982798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5459.45491489858,5450.66431545809,5455.64897271086,2.23214879809032,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.25,10.7901483426374,90,0.901208153641911,0.10191085225332,0.90158939956235,0.101719335326046,0.90168408060157,0.106064803886631,0.0071526146704034,0.0310398564239418,0.0302052887159126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5506.18298287883,5497.34284193059,5502.36297487834,2.2561411610179,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.3,12.9825856588502,90,0.906079551190286,0.103267383076388,0.906460206411986,0.103081443930878,0.906549774455259,0.107362522892161,0.00706641164689415,0.0309918023723442,0.0301762010686711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5564.48854855433,5555.5904716831,5560.65402053304,2.32045854292875,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.35,15.1945496629494,90,0.911939303508043,0.104951761003229,0.912318940783146,0.104771211635952,0.912402414829601,0.108974516135185,0.0069655756027918,0.0309335605791142,0.0301398407757836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5635.12381191992,5626.15761833929,5631.27312316831,2.31599885538996,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.4,17.4299682548373,90,0.918850474494927,0.106959203612112,0.919228993425984,0.106781123495054,0.919305367018229,0.110894909532951,0.00685728371347968,0.0308671427479488,0.0300965239581929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5719.05040482707,5710.00307291241,5715.17988716556,2.36156201299172,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.45,19.6931284542689,90,0.926878170594132,0.109305009925731,0.927255304324952,0.109133389730047,0.927323539935773,0.113145873755058,0.00672879519734407,0.0307876333959416,0.0300440102845394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5817.54297913256,5808.40264130555,5813.65028945076,2.3756440538161,NaN,NaN
